dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,6,Carlos Alcaraz,Hubert Hurkacz,True,model_a,model_b,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,7,Daniil Medvedev,Carlos Alcaraz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,8,Daniil Medvedev,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,9,Stefanos Tsitsipas,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,10,Alexander Zverev,Carlos Alcaraz,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,11,Alexander Zverev,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,12,Holger Rune,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,13,Hubert Hurkacz,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,14,Stefanos Tsitsipas,Holger Rune,True,model_b,model_a,False,1,1,False,False,5,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,15,Hubert Hurkacz,Stefanos Tsitsipas,True,model_a,model_b,False,1,1,False,False,5,4,4
